#Cache size, OPT, LRU, FIFO, RAND, CLOCK
0.05, 40.08, 15.75, 15.7, 15.91, 15.97
0.1, 59.72, 30.93, 29.54, 29.47, 31.54
0.15, 71.75, 44.84, 41.56, 41.67, 46.38
0.2, 79.69, 56.93, 51.61, 52.3, 59.33
0.25, 84.41, 67.69, 59, 60.11, 70.24
0.3, 87.3, 75.22, 65.76, 65.98, 77.65
0.35, 89.41, 80.55, 70.35, 70.04, 81.76
0.4, 90.98, 83.61, 74.35, 74.31, 84.3
0.45, 92.31, 85.41, 78.1, 77.56, 85.74
0.5, 93.35, 86.79, 80.53, 80.9, 87
0.55, 94.3, 88.28, 83, 83.21, 88.11
0.6, 95.13, 89.5, 85.09, 85.1, 89.47
0.65, 95.88, 90.8, 87.39, 87.17, 90.87
0.7, 96.53, 91.92, 89.37, 89.98, 91.95
0.75, 97.12, 93.26, 91.31, 90.85, 93.25
0.8, 97.64, 94.45, 93.41, 92.77, 94.54
0.85, 98.07, 95.67, 94.47, 94.55, 95.64
0.9, 98.45, 96.68, 96.26, 96.19, 96.69
0.95, 98.78, 97.92, 97.43, 97.5, 97.84
1, 99, 99, 99, 99, 99
