#Cache size, OPT, LRU, FIFO, RAND, CLOCK
5, 2206, 487, 482, 479, 494
10, 3478, 961, 944, 980, 966
15, 4384, 1438, 1413, 1459, 1438
20, 5116, 1904, 1916, 1905, 1909
25, 5725, 2416, 2409, 2380, 2393
30, 6250, 2919, 2883, 2932, 2920
35, 6719, 3398, 3421, 3440, 3395
40, 7136, 3893, 3887, 3941, 3923
45, 7516, 4363, 4321, 4424, 4360
50, 7860, 4851, 4925, 4931, 4909
55, 8164, 5367, 5426, 5436, 5412
60, 8447, 5871, 5878, 5960, 5893
65, 8706, 6416, 6377, 6487, 6380
70, 8942, 6938, 6923, 6911, 6931
75, 9149, 7434, 7451, 7438, 7437
80, 9329, 7958, 7906, 7913, 7921
85, 9494, 8432, 8422, 8375, 8464
90, 9648, 8927, 8888, 8915, 8932
95, 9786, 9387, 9402, 9427, 9413
100, 9900, 9900, 9900, 9900, 9900
